dr = 0.1d_attr_r: 0.1delta: 0.25	AUROC	Parity	Equality	Counterfactual
mean	81.45718667189107	2.4083065662505656	0.8412771041460118	0.8476372112735756
stdev	2.005912226122181	0.5923523494766724	0.7201029852355765	0.4581032808389064
	AUROC	Parity	Equality	Counterfactual
mean	82.69469775585983	1.5842602364321798	1.351584941152545	1.1443102352193275
stdev	0.2837403591780335	0.2126044470180735	0.5268646550928682	0.1080529670182847
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	81.88743980984042	2.369315170058442	0.607920892752741	0.8264462809917346
stdev	2.2594040414868384	0.5420076542434494	0.5113765134366802	0.3176284121765531
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.2delta: 0.25	AUROC	Parity	Equality	Counterfactual
mean	79.1595717787104	2.0101791597292724	0.3767253870205156	1.8859927950837037
stdev	2.80141264588922	1.1010046924158334	0.2870667311022441	1.122986020737771
	AUROC	Parity	Equality	Counterfactual
mean	83.04140021775088	1.6474276761571194	0.47090673377564635	1.7235289962562683
stdev	0.4996486137203977	0.31527583271234194	0.4490708742623977	0.1960081503921962
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	79.0569047640913	2.1207641151430265	0.4573069981443356	1.8259518259518253
stdev	2.766473035968508	1.0122075241126447	0.23633390134424676	1.0411208978394797
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.3delta: 0.25	AUROC	Parity	Equality	Counterfactual
mean	82.60255668512549	2.099679346164279	0.545006227916317	1.5363424454333547
stdev	1.227674938233025	0.18200857703860615	0.4447015250926614	0.24461530791725308
	AUROC	Parity	Equality	Counterfactual
mean	82.51055272907973	2.287956538117573	0.7384529347466898	1.9071837253655444
stdev	0.5404718909270704	0.7535471443284423	0.9199570919822819	0.709184171675419
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	82.6000120916023	2.1085607696650603	0.5001398103663032	1.5469379105742733
stdev	1.0659813142953125	0.1845844870882045	0.3529409644633717	0.125962806386433
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
