dr: 0.01	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	72.00479335571949	11.717319074452242	9.4264809544134	0.08888888888888644		
stdev	0.2452499568886244	0.09548565345011681	0.08933189997579033	0.0809816318146158		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	72.0069794088245	11.719137471042691	9.423124878388801	0.1007407407407407		
stdev	0.28270189313479327	0.09418842426583975	0.08172387733642915	0.09840427795801882		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean						
stdev						
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.89884230457307	11.708975285930439	9.431918542448326	0.1170370370370352		
stdev	0.36501845720618953	0.10335590506505551	0.10184530055139164	0.01752912528325619		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean						
stdev						
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.89841977083628	11.708975285930439	9.431918542448326	0.11851851851851652		
stdev	0.36572268479973963	0.10335590506505551	0.10184530055139164	0.018264930379165326		
dr: 0.2	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.99148096308934	11.73507685365585	9.450652150541243	0.08592592592592506		
stdev	0.2980571573321303	0.11686647213541791	0.11782167018929074	0.09513833693630958		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.96975114803905	11.7628097693641	9.47354878265481	0.11259259259259127		
stdev	0.29109202303866244	0.12244894047077703	0.12282684727473404	0.09860480765803628		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean						
stdev						
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.89625378378388	11.754653029449905	9.47563029466513	0.06814814814815048		
stdev	0.2789561682821668	0.09097599304131292	0.09552303322579198	0.031075817723559322		
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean						
stdev						
	AUROC	Parity	Equality	F1	Counterfactual	Robustness
mean	71.92158860851796	11.743233593570038	9.463141222603184	0.05481481481481615		
stdev	0.19979526442315412	0.10655087876022667	0.11274803350360942	0.0399725557429104		
