dr = 0.1d_attr_r: 0.01delta: 0.47	AUROC	Parity	Equality	Counterfactual
mean	72.23136976230018	11.721210395801725	9.44128534649478	0.08666666666666817
stdev	0.16019669008022872	0.06925547740461276	0.07755552858982123	0.061943821621185335
	AUROC	Parity	Equality	Counterfactual
mean	72.1415575506257	11.657587824471031	9.369473182138597	0.04888888888889087
stdev	0.2616871182526048	0.10499406818834586	0.11979097098320747	0.03046957600178418
delta: 0.499	AUROC	Parity	Equality	Counterfactual
mean	72.25277708721892	11.708975285930437	9.431918542448322	0.08000000000000038
stdev	0.1458314218615573	0.07753623803530808	0.08697632245025394	0.06798692684790573
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.1delta: 0.47	AUROC	Parity	Equality	Counterfactual
mean	71.9512479542516	11.831326384643305	9.550564727036807	0.08222222222222421
stdev	0.1993665282368752	0.05993955226308702	0.06118370782523053	0.05678636595191636
	AUROC	Parity	Equality	Counterfactual
mean	71.93847476512141	11.672269956316576	9.385084522216028	0.051111111111109116
stdev	0.21175215370544082	0.07506416899220761	0.08747924145199143	0.0424554959434286
delta: 0.499	AUROC	Parity	Equality	Counterfactual
mean	71.95178027796207	11.826432340694792	9.541197922990348	0.10222222222222382
stdev	0.20797676807497573	0.07373620698536579	0.07315707826813803	0.0478681316189755
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.2delta: 0.47	AUROC	Parity	Equality	Counterfactual
mean	71.86705309068178	11.760362747389843	9.47875256268062	0.09555555555555607
stdev	0.18355012296997972	0.04101956299671843	0.03811213817826067	0.0627359742821937
	AUROC	Parity	Equality	Counterfactual
mean	71.82310843542338	11.713869329878953	9.438163078479297	0.10444444444444582
stdev	0.20205011562618166	0.06886530259614457	0.08165790452492742	0.08655263152955976
delta: 0.499	AUROC	Parity	Equality	Counterfactual
mean	71.85006861042046	11.762809769364102	9.478752562680619	0.08444444444444248
stdev	0.17835977098160366	0.04617031826974097	0.03961713981656158	0.041928805031362586
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
