dr = 0.1d_attr_r: 0.1delta: 0.35	AUROC	Parity	Equality	Counterfactual
mean	68.24507936507936	1.1661211129296225	0.9103641456582601	0.2666666666666669
stdev	3.1749173177903005	0.5455963567640391	0.7542247629039894	0.37712361663282573
	AUROC	Parity	Equality	Counterfactual
mean	69.61777777777776	0.8956173849790879	1.27801120448179	0.40000000000000036
stdev	2.267583825827714	0.7308208801734387	1.082182035050811	0.46188021535170104
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	69.43365079365078	1.9298963447899646	1.2429971988795512	0.5333333333333338
stdev	1.8741226754055182	0.7782809745303689	0.9824221181091183	0.5962847939999445
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.2delta: 0.35	AUROC	Parity	Equality	Counterfactual
mean	68.92444444444443	1.3161483906164746	0.9628851540616212	0.46666666666666706
stdev	2.1411768132568185	1.2774180361658298	0.7728900579357155	0.35901098714230056
	AUROC	Parity	Equality	Counterfactual
mean	69.28126984126985	1.9208037825059125	1.190476190476188	0.13333333333333344
stdev	2.6845348455292326	1.065734508745057	1.102802223250954	0.18856180831641278
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	68.62539682539683	2.0299145299145285	0.7703081232492988	0.46666666666666706
stdev	2.6193151186144386	1.2406704613161195	0.7615043127076869	0.48534065928536835
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
d_attr_r: 0.3delta: 0.35	AUROC	Parity	Equality	Counterfactual
mean	69.34222222222223	2.5754682669576296	2.1183473389355743	0.33333333333333365
stdev	2.718030202816286	1.6276464290313954	1.8478805247095664	0.3590109871423006
	AUROC	Parity	Equality	Counterfactual
mean	68.70349206349206	1.3616112020367368	0.7703081232492988	0.2666666666666669
stdev	3.226762365602953	1.2406704613161232	0.7269096460793639	0.1885618083164128
delta: 0.4	AUROC	Parity	Equality	Counterfactual
mean	68.8952380952381	3.0278232405892003	1.6456582633053198	0.33333333333333365
stdev	1.5859199065884084	1.5379874914359501	1.4423900507034988	0.42687494916219026
	AUROC	Parity	Equality	Counterfactual
mean				
stdev				
